code,judet,nume
GJ,Gorj,Muzeul Județean Gorj „Alexandru Ștefulescu” din Târgu Jiu
GJ,Gorj,Muzeul Tezaurului de la Tismana
HR,Harghita,Muzeului Secuiesc al Ciucului din Castelul Mikó din Miercurea Ciuc
HR,Harghita,Muzeul Oltului și al Mureșului Superior din Miercurea Ciuc
HR,Harghita,Muzeul Apelor Minerale din Tușnad
HR,Harghita,Muzeul Orășenesc „Molnár István” din Cristuru Secuiesc
HR,Harghita,"Colecția muzeală a Mănăstirii ""Sf. Ilie"" de la Toplița"
HR,Harghita,Muzeul de Etnografie Toplița
HR,Harghita,"Muzeul pălăriilor de paie din Crișeni, înființat de către Szocs Lajos [53]"
HR,Harghita,Colecția muzeală sătească Corund din Corund
HR,Harghita,Colecția muzeală sătească Praid din Praid
HR,Harghita,Casa Memorială „Nagy Imre” din Jigodin Băi
HR,Harghita,Casă etnografică ceangăiască Păltiniș-Ciuc din Păltiniș-Ciuc
HD,Hunedoara,"Castelul Corvinilor, din Hunedoara"
HD,Hunedoara,"Muzeul Civilizației Dacice și Romane, din Deva"
HD,Hunedoara,Muzeul de Arheologie Sarmizegetusa
HD,Hunedoara,"Muzeul de Etnografie și Artă Populară, din Orăștie"
HD,Hunedoara,"Muzeul de Etnografie și Artă Populară Zărăndeană, din Brad"
HD,Hunedoara,"Muzeul Memorial „Aurel Vlaicu”, din satul Aurel Vlaicu"
HD,Hunedoara,Muzeul Aurului din Brad
HD,Hunedoara,"Muzeul Pădurenilor, din Poienița Voinii organizat în casa regretatului cântăreț de muzică populară Drăgan Muntean"
HD,Hunedoara,"Muzeul Textilelor, din Băița"
HD,Hunedoara,"Casa natală Crișan (Marcu Giurgiu), din Crișan"
IS,Iași,Muzeul de Istorie a Moldovei
IS,Iași,Muzeul Științei și Tehnicii „Ștefan Procopiu”
IS,Iași,Muzeul Etnografic al Moldovei
IS,Iași,Muzeul de Artă
IS,Iași,Muzeul „Mihai Eminescu”
IS,Iași,Muzeul de soluri de la USAMV Iași
IS,Iași,"Muzeul de Istorie Naturală, Iași"
IS,Iași,"Muzeul Municipal, Iași"
IS,Iași,"Muzeul Universității „Al. I. Cuza”, Iași"
IS,Iași,"Muzeul Sitului Arheologic Cucuteni, sat Cucuteni, șoseaua Iași-Pașcani, comuna Cucuteni"
IS,Iași,"Muzeul Viei și Vinului, Hârlău"
